"ID","Ortnamn","N","E","LOPNR","Namntyp_nr","Språk_nr","Sockenstad_nr","Län_nr","Kommun_nr","Kombo","Sockenstad","nr"
60557,"Lill-Fetsjön",7127028.00,640853.00,3830185.00,8,5,23,1,12,"Lill-Fetsjön_3830185_23","Åsele",23
60558,"Lill-Granberget",7111276.00,599648.00,3830574.00,5,5,23,1,12,"Lill-Granberget_3830574_23","Åsele",23
60559,"Lill-Granberget",7152492.00,632955.00,3830575.00,5,5,23,1,12,"Lill-Granberget_3830575_23","Åsele",23
60560,"Lillholmen",7132776.00,590413.00,3831554.00,5,5,23,1,12,"Lillholmen_3831554_23","Åsele",23
60561,"Lillholmen",7110458.00,608592.00,3831555.00,5,5,23,1,12,"Lillholmen_3831555_23","Åsele",23
60562,"Lillholmen",7116428.00,612238.00,3831556.00,5,5,23,1,12,"Lillholmen_3831556_23","Åsele",23
60563,"Lillholmen",7088673.00,622216.00,3831557.00,5,5,23,1,12,"Lillholmen_3831557_23","Åsele",23
60564,"Lillholmen",7105036.00,627526.00,3831558.00,5,5,23,1,12,"Lillholmen_3831558_23","Åsele",23
60565,"Lillholmen",7116653.00,628170.00,3831559.00,5,5,23,1,12,"Lillholmen_3831559_23","Åsele",23
60566,"Lill-Hundberget",7134711.00,644764.00,3831705.00,5,5,23,1,12,"Lill-Hundberget_3831705_23","Åsele",23
60567,"Lill-Höktjärnen",7128800.00,604110.00,3831891.00,8,5,23,1,12,"Lill-Höktjärnen_3831891_23","Åsele",23
60568,"Lill-Hökviken",7127772.00,604581.00,3831892.00,6,5,23,1,12,"Lill-Hökviken_3831892_23","Åsele",23
60569,"Lill-Klingermyran",7094777.00,627975.00,3832113.00,4,5,23,1,12,"Lill-Klingermyran_3832113_23","Åsele",23
60570,"Lill-Klingertjärnen",7131910.00,622559.00,3832117.00,8,5,23,1,12,"Lill-Klingertjärnen_3832117_23","Åsele",23
60571,"Lillklippen",7137277.00,636953.00,3832141.00,5,5,23,1,12,"Lillklippen_3832141_23","Åsele",23
60572,"Lill-Kojmyran",7092959.00,635269.00,3832226.00,4,5,23,1,12,"Lill-Kojmyran_3832226_23","Åsele",23
60573,"Lillkullen",7142351.00,606353.00,3832343.00,5,5,23,1,12,"Lillkullen_3832343_23","Åsele",23
